keyframe_idx,x,y,theta
0,0.0,0.0,0.0
1,0.2983307670992092,-0.015840634768026624,0.006682967862254739
2,0.5930991769234468,-0.023194755165088572,0.018376365599057275
3,0.8740039567508486,-0.027905473463201227,0.03243738832675873
4,1.1569225061837631,-0.02830660140660273,0.030880530293639175
5,1.4580019232433385,-0.03516071141021906,0.023505784313811635
6,1.8019957041072092,-0.035524266705083095,0.010608906893133803
7,2.0355590409657798,-0.0521456283827196,0.016374685007313025
8,2.373542772207679,-0.06474570486426981,0.023481818898395245
9,2.539346738992577,-0.053762359280640534,0.19944009540987445
10,2.728804767363757,0.020228680777214684,0.36267810093789127
11,3.053951299804035,0.11042942906817255,0.33096570684727017
12,3.063532035902405,0.19275667924409928,0.29577767103411057
13,3.272576161806116,0.26562853173201906,0.27041637494273296
14,3.5964027999134114,0.34091599673732914,0.15723272060438662
15,3.885743380269647,0.3725363495901716,0.08131967484387306
16,4.185612489993954,0.37952091873543836,0.07780234693765094
17,4.53648087917206,0.3952062524762162,0.07266099516531943
18,4.862144681629763,0.4016554324290604,-0.10134702472475042
19,5.047987106599108,0.36658427771384194,-0.2692152483184034
20,5.300281962945185,0.2543316272469515,-0.35515835748773206
21,5.552988363146458,0.14463917085081823,-0.2137499222805746
22,5.7583848102363415,0.09990054201353944,-0.020983360879830767
23,6.070208485452411,0.10925747953942344,0.01928131541380234
24,6.1464753442230915,0.09966284706906355,0.024964238189447003
25,6.4726007449957494,0.09735565334081013,0.03244009927416244
26,6.870068637732154,0.08847233745592262,0.03707232379827199
27,7.1706291550431605,0.08768861767737356,0.055841123864437014
28,7.482810723883373,0.09580593449145881,0.07137384706560204
29,7.774037957055209,0.11564297741531335,0.06681321282827954
30,8.141162616454764,0.13396124624633113,0.0733593919182027
31,8.451707226242332,0.14469262814435765,0.08400620892580994
32,8.754706342420615,0.1618348342476087,0.08682373534109598
33,9.043088208917965,0.17678584716628362,0.09447947825486629
34,9.342326886293687,0.20248295728979168,0.10591465545002299
35,9.63656354528213,0.21802134427794212,-0.018497668570116983
36,9.969220288301207,0.20804865956155624,-0.021151247758316963
37,10.281671804156817,0.19884848707349653,-0.022721463523539934
38,10.576968424484777,0.18298305732879233,-0.0220450559065491
39,10.865183511672438,0.1810146838836459,-0.008723284125185677
40,11.146845860745113,0.15029134087655435,-0.008430282434751477
41,11.440810136420115,0.1399918434484952,0.005280886702130119
42,11.721399564068193,0.1084126261157857,-0.17129406061548821
43,12.049116062573054,0.03140036438797478,-0.2659922319753689
44,12.35295353049761,-0.059941641066462145,-0.27809708511318465
45,12.73164824645655,-0.17224029740038113,-0.2934101000086372
46,12.972930028213154,-0.2538398049728452,-0.2819507873009578
47,13.268857632795642,-0.34966331630041175,-0.2958481973629896
48,13.712623003736546,-0.4530635954197056,-0.32246681049186626
49,14.017758434612764,-0.542058145055915,-0.329578473348088
50,14.21486441309008,-0.6307679046324544,-0.48355475221984795
51,14.376619430306741,-0.7457718237175446,-0.6724645814602512
52,14.512094001160266,-0.8640511882779335,-0.8405680764329543
53,14.643868520014964,-1.0130208170869526,-1.04016478434698
54,14.712670405463902,-1.1789976470818748,-1.2119489658304192
55,14.777559919235696,-1.3506145090131987,-1.3887404809763335
56,14.805225428362899,-1.5469229386972565,-1.5807755651134665
57,14.78340451818784,-1.7339947388868122,-1.7584146239683873
58,14.711240096210997,-2.0165904088062905,-1.8492943985775987
59,14.640756348122558,-2.34049247429521,-1.7037833406787442
60,14.622610480616437,-2.463711519954546,-1.5253466812031746
61,14.648746971634823,-2.852186955776647,-1.4186259845963072
62,14.7029697272768,-3.1362493632109847,-1.4387139656912753
63,14.73551659609825,-3.4414403248757295,-1.441678378690471
64,14.778215766318564,-3.7453812425668898,-1.450311660582391
65,14.798862444979685,-4.049322027604875,-1.4682247584595847
66,14.795783806761317,-4.364744810724501,-1.6278652640336213
67,14.77879390589683,-4.620134471120863,-1.6207760860846112
68,14.749962817922873,-4.991781440457839,-1.626186322468083
69,14.722954932534623,-5.344331180464913,-1.625507973657044
70,14.701598234181127,-5.521854251037901,-1.774094086942746
71,14.674862657228385,-5.641199588632079,-1.9316512667597523
72,14.63156219085245,-5.714010698417948,-2.1316069352310993
73,14.570394548009796,-5.759352349718506,-2.333481649284733
74,14.399109118196847,-5.9413050338248015,-2.189707710013878
75,14.328261569380155,-6.033190088287494,-2.006132898192963
76,14.269711728450321,-6.1031413721285,-1.8378157336303198
77,14.245148875022133,-6.176856863690026,-1.6916823062110398
78,14.232802336957901,-6.515159493898018,-1.5838666233522407
79,14.21583930614136,-6.811136354481952,-1.5631569295961243
80,14.208029128658726,-7.113584140401567,-1.5619855573560026
81,14.205796413900657,-7.415387622594806,-1.5452253129552491
82,14.203045474847105,-7.69518078870497,-1.4007296968122902
83,14.268153131712452,-8.100375662262204,-1.2974261255734094
84,14.339789544401969,-8.433554440314117,-1.3102533827143394
85,14.385039301347687,-8.662490115083605,-1.502009019108756
86,14.397576336357307,-8.951532926962036,-1.529684393973982
87,14.381315344164712,-9.24662940137929,-1.6329352949823637
88,14.352813365339848,-9.542089377957073,-1.6337729449015463
89,14.318797493951582,-9.864103721371063,-1.642969019684508
90,14.287742142717569,-10.120170901253795,-1.6427027087985469
91,14.243777422198843,-10.526665266923912,-1.6563302723339237
92,14.20654935087579,-10.840122265269805,-1.6632360255430088
93,14.162032537940341,-11.147955233040745,-1.7675352128853312
94,14.098789527788313,-11.418155634457822,-1.813328871175737
95,14.039496427904668,-11.58480256767329,-1.9912751588689415
96,13.894229631756723,-11.835234920321781,-2.1307804422425236
97,13.757180011890844,-12.049234129122462,-2.008133853717417
98,13.634477973880596,-12.336266220769947,-1.974574347964713
99,13.50162669070793,-12.61783801519571,-2.0218934117076044
100,13.349156357240249,-12.877874077842034,-2.160956551021863
101,13.200784143012557,-13.134370633602362,-2.1871023082117937
102,13.103358517072293,-13.261848469965829,-2.364568665359565
103,12.954524414593525,-13.393673030241052,-2.5549295394656326
104,12.773555726874989,-13.479057293945365,-2.7310525077506136
105,12.615792917908594,-13.532528507454547,-2.910220587432935
106,12.393875765502184,-13.553116947565849,-3.106137941476042
107,12.186055828966685,-13.531927541606397,3.010808996294293
108,11.876814578314013,-13.455970320254945,2.891613912376948
109,11.598198819931055,-13.365780699124718,2.8696808738223707
110,11.320750850205005,-13.262770701133375,2.9368078200218095
111,11.026465662024274,-13.216060317541713,3.0463527058287543
112,10.736753462508785,-13.184887814646492,3.0249509375651784
113,10.438086233439583,-13.13118894330207,3.0046531110115797
