timestamp,x,y,theta,fitness,inlier_rmse,iterations,runtime_ms
1769100608.0365813,0.3036227791473988,0.001176238030685698,0.009784419910836997,1.0,0.04726032669761175,2,1.2136889999965206
1769100611.23897,0.6043796479487487,0.007016242385968072,0.024264369339937555,0.9871794871794872,0.08133297580304424,2,0.8202799999708077
1769100614.2348244,0.90482280576934,0.01784093303782363,0.038066797524943706,1.0,0.16950757655571985,2,0.7878320011514006
1769100617.2940276,1.206864184399556,0.02997308377271681,0.036401251959889774,1.0,0.09651231781042176,2,0.7631440003024181
1769100620.3339894,1.511587989353378,0.04080473539723157,0.02723881097196145,0.8674698795180723,0.16234251210165584,2,0.788258999818936
1769100623.382407,1.815210663369227,0.04969752458067733,0.03152260929659187,0.9885057471264368,0.19481533701597697,2,0.8404599993809825
1769100626.4379897,2.117899867296308,0.05846899412975973,0.028892233457085425,1.0,0.09648388196684368,2,0.8394900014536688
1769100629.4812992,2.4226491739428524,0.06776493845835373,0.04172816336729307,1.0,0.06209795362925132,2,0.8037260013225023
1769100631.4929004,2.6192141941366525,0.09224724029264092,0.2163962867175097,1.0,0.17612297961761098,2,0.8076920003077248
1769100634.5335424,2.906812199222436,0.18872720323465558,0.3711773757089893,1.0,0.06741042526524588,2,0.8173089991032612
1769100637.5282571,3.188373847444741,0.2942387871920618,0.3423452967099872,1.0,0.10917756650727822,2,0.9045730002981145
1769100640.5802774,3.4751681972362696,0.3925721570327847,0.3149556322466558,1.0,0.15877763816876803,2,0.897821000762633
1769100643.6339428,3.7639957775609014,0.4850396642018071,0.29484805515574924,0.99,0.10751051403389343,2,0.9174990009341855
1769100646.6278987,4.053623697249384,0.5646489887072358,0.16908776183051516,0.9803921568627451,0.18269755407916732,2,3.0302459999802522
1769100649.679697,4.352996932055478,0.6053968116754699,0.10648565547513734,1.0,0.09459729388154924,2,1.0136219989362871
1769100652.674566,4.651522926796088,0.6376160611338598,0.10338456117195466,1.0,0.16922072122172216,2,0.9666179994383128
1769100655.7258396,4.953533204196185,0.6698645163269347,0.1088138521536916,1.0,0.0929625758749945,2,5.165388000023086
