timestamp,x,y,theta,fitness,inlier_rmse,iterations,runtime_ms
1769097861.6397424,0.26365272245921345,-0.008221631773831287,0.001702423307081217,0.984375,0.09728418021797043,30,0.3533363342285156
1769097864.6907787,0.5501037475855788,-0.014695417158434792,0.009876544709039672,0.9402985074626866,0.07913353122547893,30,0.24890899658203125
1769097867.7389872,0.8560136014179534,-0.02312097986742671,0.016256657046401182,0.9166666666666666,0.10756367690361268,30,35.613059997558594
1769097870.7416956,1.2198753805390665,-0.031133843357045644,0.025976979292340024,0.9294117647058824,0.11844021301837646,30,0.3693103790283203
1769097873.794757,1.2894392243143653,-0.029164111797967456,0.04516521634028223,1.0,0.09217045977659531,30,0.30159950256347656
1769097876.844291,1.708442397643481,-0.023120772935763163,0.05267852888091602,1.0,0.10011450050985461,30,0.3998279571533203
1769097879.8930087,2.015824268784471,-0.018752322549862477,0.06058482353507567,1.0,0.06252377984596114,30,0.3101825714111328
1769097882.943947,2.268448434791529,-0.011791076416458175,0.06222095724157057,0.9523809523809523,0.07569656802408715,30,0.3371238708496094
1769097886.0027587,2.548997215872522,-0.013118901942777605,0.07044534977993426,1.0,0.09477168140382496,30,34.33799743652344
1769097889.044158,2.8261529550372684,-0.002839654251952907,0.07508034273697224,1.0,0.05543838723123492,30,0.31304359436035156
1769097892.0958457,3.1358308601581397,0.008258805961822324,0.08738981311595206,0.9117647058823529,0.0460277470921722,30,0.2732276916503906
1769097895.089305,3.4734126315962373,0.02974539728256405,0.0878023652989434,0.9636363636363636,0.0914920746303959,30,65.12451171875
1769097898.1400084,3.780971560340864,0.03928326161621033,0.09472347980089318,1.0,0.05699631450707023,30,0.40340423583984375
1769097901.20184,4.070031633210745,0.0496749255488471,-0.01921485027559726,1.0,0.08351981002710401,30,0.24390220642089844
1769097904.2511902,4.41818521568043,0.02989461216031132,-0.019386977745782918,0.9811320754716981,0.07297577956125263,30,3.387928009033203
1769097907.2471452,4.660510921874656,0.019878808385613986,-0.01337315986276748,1.0,0.05903866289709229,30,0.3314018249511719
1769097910.2921922,5.222363107261668,0.014658251951989384,-0.02283137777397854,0.9891304347826086,0.11446828137720866,30,64.79573249816895
1769097913.3504205,5.350718906018516,-0.0008343749187849844,-0.026662824529313102,1.0,0.06217668732620728,30,0.7071495056152344
1769097916.393619,5.742166376436457,-0.020013529591764452,-0.024696189473178747,0.897196261682243,0.06392250127146437,30,0.3581047058105469
1769097919.4478645,6.295150389345978,-0.038471674611503366,-0.02226760097856293,0.9629629629629629,0.11589154751575541,30,0.3743171691894531
1769097922.4950805,6.629641314269269,-0.05153502542377473,-0.0214451049696838,1.0,0.07781173468597988,30,0.2498626708984375
1769097925.5402586,6.960375074457109,-0.07682861947351415,-0.014311991347274658,0.9925925925925926,0.0608607480099322,30,0.2942085266113281
1769097928.5943313,7.244642772351065,-0.0884465240243342,-0.020499827223632076,1.0,0.046906738503069936,30,0.26798248291015625
1769097931.6436718,7.567597554487226,-0.10149282461296802,-0.015451129654767543,0.9915966386554622,0.04966291307465845,30,0.28204917907714844
1769097934.6993012,7.869504181487574,-0.11729178948547919,-0.024887778974431174,1.0,0.06604840655375234,30,0.23365020751953125
1769097937.7439392,8.171365260549354,-0.13880832234205237,-0.03884612830173037,0.9901960784313726,0.03729824005380722,30,59.64064598083496
1769097940.792002,8.487567390689382,-0.15116227822416486,0.03829256146599887,1.0,0.03316790488745825,30,0.3216266632080078
1769097943.7902045,8.780514690323907,-0.1550709342721869,0.021791579421481758,0.9801980198019802,0.036766518437128325,30,0.26869773864746094
1769097946.843299,9.041675857417022,-0.15678693657875564,-0.00046852988824113914,0.98,0.03715235848712171,30,0.4601478576660156
1769097949.89731,9.300075256245863,-0.16624554214578027,-0.02811724989777599,0.8737864077669902,0.08258413012090587,30,0.26416778564453125
1769097952.9436786,9.613887287337416,-0.18817627444168347,-0.03839590846831663,0.9827586206896551,0.08938564866555877,30,0.27441978454589844
1769097955.9958825,9.888027529821436,-0.2118468116048704,-0.06631781412717838,1.0,0.09592395827230703,30,0.32138824462890625
1769097959.0410929,10.227590338877219,-0.24102302462120703,-0.0031557834208593982,0.98989898989899,0.07067232894210602,30,0.2639293670654297
1769097962.0957537,10.542119848856382,-0.25856086961771807,-0.02795701947538227,0.9896907216494846,0.1066168955059179,30,0.3161430358886719
1769097965.1489413,10.827266238384817,-0.28345699163166044,-0.04841634590173713,0.9223300970873787,0.07178599294943779,30,0.2562999725341797
1769097968.5984433,11.158137783336212,-0.3112302037128361,0.015335604498196723,0.972972972972973,0.07592749447292392,30,0.2624988555908203
1769097971.2492282,11.459458576150139,-0.2982839425002074,0.09054905186095949,0.9903846153846154,0.10519000517956931,30,0.25773048400878906
1769097974.2987032,11.770980245770085,-0.2772115106565272,0.07947991464964832,1.0,0.09138241162913775,30,0.2651214599609375
1769097977.3445077,11.849350864987167,-0.261313817666211,0.07052156339545608,1.0,0.10666213057948351,30,0.32591819763183594
1769097980.3984647,12.210989156109006,-0.2578425195270778,0.0662251695100623,0.8585858585858586,0.08001037241123621,30,0.28705596923828125
1769097983.4516568,12.55397331554336,-0.2479134045624369,0.008923809803943736,1.0,0.0908541344366087,30,0.2598762512207031
1769097985.2514153,12.715482873891037,-0.2712059895371223,-0.15608036224603397,1.0,0.07171358652744853,30,0.24080276489257812
1769097987.1424937,12.914260312525624,-0.3119316009520191,-0.3465697520702369,1.0,0.04679549311621404,30,0.2701282501220703
1769097989.0485525,13.081046338396341,-0.3882273025222531,-0.516345282666578,0.99,0.056062549140063644,30,0.25844573974609375
1769097990.8940732,13.223747729153024,-0.490831882510186,-0.6868620624208582,0.9903846153846154,0.06644256940136567,30,0.278472900390625
1769097992.7986338,13.366025130105252,-0.6230372216720589,-0.8814299231938889,0.972972972972973,0.05444430175255723,30,0.2758502960205078
1769097995.8586383,13.528086865509145,-0.8661953860412606,-1.043253289849263,1.0,0.0690417553687248,30,0.29397010803222656
1769097998.893041,13.677163767586698,-1.1273488703080476,-1.0583444173770657,0.9739130434782609,0.06283975077993949,30,1.119375228881836
1769098001.8983266,13.805862675474422,-1.4055439521100064,-1.0639601714349627,1.0,0.040597390169215875,30,1.2292861938476562
1769098004.9468532,13.923947933191586,-1.68234476552695,-1.0801115522059797,1.0,0.06967410760796239,30,1.1801719665527344
1769098006.8440497,14.008904858718967,-1.8803861114181328,-1.2504389590326257,1.0,0.05344482239132081,30,0.27108192443847656
1769098008.7530909,14.05417695124301,-2.0626986870232495,-1.4287300826944018,1.0,0.04984323437382923,30,0.2079010009765625
1769098011.7453208,14.060048557667264,-2.3573573055341965,-1.590394765708614,0.99,0.08863374792522756,30,0.2765655517578125
1769098014.7970402,14.043427153962588,-2.6739905395254353,-1.6090300688709118,1.0,0.04233661321649758,30,1.0654926300048828
1769098017.84144,14.019134199326729,-2.9871435312725336,-1.6228821279714511,1.0,0.06962623413956193,30,0.2338886260986328
1769098020.905907,13.995471881778254,-3.2760762478913006,-1.6448040036506684,1.0,0.06148889912889336,30,0.25463104248046875
1769098023.9557571,13.964876145741435,-3.5368922318005276,-1.663652599309177,1.0,0.054372122702919155,30,0.37097930908203125
1769098026.9967713,13.921197760398659,-3.7728718438159836,-1.6606092096357405,1.0,0.06717143838477763,30,0.6666183471679688
1769098030.0127244,13.906574766734426,-4.038737813059538,-1.5690690669412688,1.0,0.056006659645111145,30,0.31256675720214844
1769098033.0486932,13.898404377392193,-4.347700267563511,-1.5829620500718624,1.0,0.05212271152683439,30,0.3108978271484375
1769098036.0930083,13.879643815380007,-4.701556924456494,-1.596172756822453,1.0,0.08222638898603762,30,0.3192424774169922
1769098039.1481311,13.864511942981945,-4.965401920900744,-1.5831240281828522,1.0,0.05371489120709901,30,0.32258033752441406
1769098042.1962981,13.863035135095537,-5.154925486422954,-1.4568704639085737,1.0,0.038514880617828165,30,0.41031837463378906
1769098045.2421417,13.888579938768633,-5.4887536622965625,-1.4607287994928813,1.0,0.05020783010990825,30,0.26988983154296875
1769098048.295522,13.896476408469997,-5.776282116818688,-1.529012388179803,1.0,0.05359773007033458,30,0.2944469451904297
1769098051.3429508,13.893458339331648,-6.059322935547065,-1.5341462555372127,1.0,0.055594786348887947,30,0.3330707550048828
1769098054.3989978,13.89039323421882,-6.34221644147639,-1.5477640892895317,1.0,0.07489355399608176,30,0.2529621124267578
1769098057.6558855,13.88614153698996,-6.674541704130141,-1.552991766712806,1.0,0.04656252364923294,30,0.2961158752441406
1769098060.4951694,13.883659200826873,-6.9755170374110955,-1.563985584330255,1.0,0.045004822257778035,30,0.278472900390625
1769098063.547178,13.879316177635385,-7.321902756827788,-1.574612597169597,1.0,0.05447172123779869,30,1.354217529296875
1769098066.5947855,13.864821466090408,-7.619971208153064,-1.580063864347024,1.0,0.06362079444195107,30,2.897977828979492
1769098069.643351,13.856988363931599,-7.888540631621709,-1.5913253738158084,1.0,0.047711079344977605,30,0.6597042083740234
1769098072.6973133,13.837422785981172,-8.158971467371243,-1.5925979144437101,1.0,0.03127985060313746,30,0.24747848510742188
1769098075.7539716,13.822035958469806,-8.425881043388184,-1.5996099648011048,1.0,0.028778239616226706,30,0.2617835998535156
1769098078.8015292,13.803795404252941,-8.760294879983219,-1.6039639006568167,1.0,0.03249813254886418,30,0.2892017364501953
