timestamp,x_wheel,y_wheel,theta_wheel,x_ekf,y_ekf,theta_ekf,imu_corrected,innovation,innovation_cov,nis,kalman_gain,P
1769097853.1928256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0.5238095238095238,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.05238095]]"
1769097853.2420344,0.0,0.0,0.0,0.0,0.0,-1.1333007229923841e-06,-2.9500423400030764e-06,-2.950042340003077e-06,0.16238095238095238,5.359464691027197e-11,0.3841642228739003,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.03841642]]"
1769097853.2940512,0.0,0.0,0.0,0.0,0.0,1.6131014308230718e-06,7.2855613608719524e-06,8.418862083864338e-06,0.14841642228739005,4.775565782732829e-10,0.3262201146018573,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.03262201]]"
1769097853.3432746,0.0,0.0,0.0,0.0,0.0,2.2078854404413645e-06,3.603370987091117e-06,1.990269556268045e-06,0.14262201146018574,2.777392399709073e-11,0.2988459566922043,"[[0.        0.        0.       ]
 [0.        0.        0.       ]
 [0.        0.        0.0298846]]"
1769097853.3889883,0.0,0.0,0.0,0.0,0.0,-3.974140529970377e-07,-6.92950858654888e-06,-9.137394026990244e-06,0.13988459566922043,5.968632157461223e-10,0.28512500235218147,"[[0.        0.        0.       ]
 [0.        0.        0.       ]
 [0.        0.        0.0285125]]"
1769097853.447297,0.0,0.0,0.0,0.0,0.0,-5.395793892645193e-06,-1.8374384763453775e-05,-1.7976970710456737e-05,0.13851250023521816,2.3331574794752703e-09,0.27804349910525955,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.02780435]]"
1769097853.4898615,0.0,0.0,0.0,0.0,0.0,-3.105627386369896e-06,2.9523170345646926e-06,8.348110927209886e-06,0.13780434991052598,5.057239201683419e-10,0.2743335020634086,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.02743335]]"
1769097853.54548,0.0,0.0,0.0,0.0,0.0,-2.440033932692347e-05,-8.128734469292046e-05,-7.818171730655056e-05,0.13743335020634087,4.447523771940601e-08,0.2723745739308462,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.02723746]]"
1769097853.5986848,0.0,0.0,0.0,0.0,0.0,-1.8876692970900785e-05,-4.043117472675482e-06,2.035722185424799e-05,0.13723745739308463,3.0197038730910965e-09,0.2713359610447068,"[[0.        0.        0.       ]
 [0.        0.        0.       ]
 [0.        0.        0.0271336]]"
1769097853.644009,0.0,0.0,0.0,0.0,0.0,-1.4283770546493188e-05,-1.9151262291316508e-06,1.6961566741769135e-05,0.13713359610447068,2.0979158609413124e-09,0.27078409054613933,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.02707841]]"
1769097853.6911144,0.0,0.0,0.0,0.0,0.0,-1.3940721796013315e-05,-1.3015523657186525e-05,1.2682468893066625e-06,0.13707840905461394,1.1733796615593904e-11,0.27049051203856167,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.02704905]]"
1769097853.7484872,0.0,0.0,0.0,0.0,0.0,-2.5104811011834477e-05,-5.5238077190211466e-05,-4.1297355394198155e-05,0.1370490512038562,1.2444242025564056e-08,0.2703342407584191,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.02703342]]"
1769097853.7954247,0.0,0.0,0.0,0.0,0.0,-2.5944957282722798e-05,-2.8213573517526678e-05,-3.1087625056922013e-06,0.13703342407584193,7.052589090562923e-11,0.27025103054671945,"[[0.        0.        0.       ]
 [0.        0.        0.       ]
 [0.        0.        0.0270251]]"
1769097853.8444524,0.0,0.0,0.0,0.0,0.0,-1.4944359426206649e-05,1.4766828251711397e-05,4.0711785534434196e-05,0.13702510305467197,1.2095955007167232e-08,0.27020671562567056,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.02702067]]"
1769097853.896953,0.0,0.0,0.0,0.0,0.0,-2.020326561852581e-05,-3.4408589213024386e-05,-1.9464229786817736e-05,0.13702067156256706,2.764956826394239e-09,0.2701831128134743,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.02701831]]"
1769097853.9423401,0.0,0.0,0.0,0.0,0.0,-2.1215204409886793e-05,-2.39488212506714e-05,-3.745555632145588e-06,0.13701831128134742,1.0238913954128814e-10,0.27017054096759113,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.02701705]]"
1769097853.9923825,0.0,0.0,0.0,0.0,0.0,-2.5614152898525603e-06,4.7831004029294175e-05,6.904620843918097e-05,0.13701705409675913,3.479405488064415e-08,0.2701638444993737,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.02701638]]"
1769097854.0491338,0.0,0.0,0.0,0.0,0.0,-7.92998302571919e-06,-2.243320319603951e-05,-1.9871787906186946e-05,0.13701638444993738,2.882049151813378e-09,0.27016027753573013,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.02701603]]"
1769097854.0958455,0.0,0.0,0.0,0.0,0.0,-4.510234262146107e-06,4.7283279799707235e-06,1.2658311005689916e-05,0.13701602775357302,1.169445941061388e-09,0.2701583775304545,"[[0.         0.         0.        ]
 [0.         0.         0.        ]
 [0.         0.         0.02701584]]"
